132.227.113.196 User - [11/12/2012:16:31:14 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:31:15 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.196 User - [11/12/2012:16:31:17 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.196 User - [11/12/2012:16:31:19 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.197 chani - [11/12/2012:16:31:23 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.196 User - [11/12/2012:16:31:25 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:31:28 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:31:38 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:31:39 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.196 User - [11/12/2012:16:32:58 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM Il y a des enfants qui se portent très bien.." 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:32:58 +0200] "-" - - "-" "DisconnectionType"
132.227.113.195 amy - [11/12/2012:16:32:58 +0200] "-" - - "-" "DisconnectionType"
132.227.113.195 amy - [11/12/2012:16:32:58 +0200] "-" - - "-" "DisconnectionType"
132.227.113.195 amy - [11/12/2012:16:32:58 +0200] "-" - - "-" "DisconnectionType"
132.227.113.195 amy - [11/12/2012:16:32:58 +0200] "-" - - "-" "DisconnectionType"
132.227.113.196 User - [11/12/2012:16:32:59 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.196 User - [11/12/2012:16:33:02 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:33:06 +0200] "graphicalToolMessage DELETE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.196 User - [11/12/2012:16:33:11 +0200] "graphicalToolMessage EDIT_BENDPOINT" 3 - "graphicalTool" "GenericType"
132.227.113.196 User - [11/12/2012:16:33:14 +0200] "graphicalToolMessage EDIT_BENDPOINT" 3 - "graphicalTool" "GenericType"
132.227.113.196 User - [11/12/2012:16:33:17 +0200] "graphicalToolMessage DELETE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.196 User - [11/12/2012:16:33:19 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:33:19 +0200] "-" - - "-" "ConnectionType"
132.227.113.195 amy - [11/12/2012:16:33:19 +0200] "-" - - "-" "ConnectionType"
132.227.113.195 amy - [11/12/2012:16:33:19 +0200] "-" - - "-" "ConnectionType"
132.227.113.195 amy - [11/12/2012:16:33:19 +0200] "-" - - "-" "ConnectionType"
132.227.113.195 amy - [11/12/2012:16:33:19 +0200] "-" - - "-" "ConnectionType"
132.227.113.195 amy - [11/12/2012:16:33:20 +0200] "NoteMessage " 2 - "notetool" "GenericType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:33:27 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM Il est difficile d'affirmer que la cause est l'homoparentalité" 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:33:28 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM Des études montrent que c'est faux" 3 - "graphicalTool" "GenericType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:33:31 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:33:31 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:33:33 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:33:33 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:33:33 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:33:35 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:33:37 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.196 User - [11/12/2012:16:33:55 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:34:11 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM L'homoparentalité peut être mal vue" 3 - "graphicalTool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:34:12 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:34:18 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.206 rachid - [11/12/2012:16:34:20 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM arg" 3 - "graphicalTool" "GenericType"
132.227.113.206 rachid - [11/12/2012:16:34:22 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:34:26 +0200] "-" - - "-" "DisconnectionType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:34:26 +0200] "-" - - "-" "DisconnectionType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:34:26 +0200] "-" - - "-" "DisconnectionType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:34:26 +0200] "-" - - "-" "DisconnectionType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:34:26 +0200] "-" - - "-" "DisconnectionType"
132.227.113.206 rachid - [11/12/2012:16:34:27 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:34:31 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:34:40 +0200] "graphicalToolMessage CHANGE_GRAPHICAL_ITEM_CONTENT Un couple homoparental peut se servir d'un enfant comme objet pour paraître comme un couple normal" 3 - "graphicalTool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:34:40 +0200] "graphicalToolMessage ADD_GRAPHICAL_ITEM_COMMENT " 3 - "graphicalTool" "GenericType"
132.227.113.196 User - [11/12/2012:16:34:41 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM Tout comme les alcooliques..." 3 - "graphicalTool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:34:42 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.196 User - [11/12/2012:16:34:43 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:34:44 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:34:44 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM La République doit assurer l'égalité pour tous les citoyens, y compris pour le mariage" 3 - "graphicalTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:34:45 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM Refuser le mariage homosexuel remet en cause l'égalité entre tous " 3 - "graphicalTool" "GenericType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:34:46 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM Hola! avoir des parents homosexuels peut affecter l'orientation sexuelle de l'enfant" 3 - "graphicalTool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:34:46 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:34:46 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:34:47 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.196 User - [11/12/2012:16:34:47 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:34:47 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:34:48 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:34:50 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.206 rachid - [11/12/2012:16:34:51 +0200] "graphicalToolMessage CHANGE_GRAPHICAL_ITEM_CONTENT c'est pas toujours vrai, ç'arrive mêùe avec les hetero" 3 - "graphicalTool" "GenericType"
132.227.113.206 rachid - [11/12/2012:16:34:51 +0200] "graphicalToolMessage ADD_GRAPHICAL_ITEM_COMMENT " 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:34:53 +0200] "graphicalToolMessage CHANGE_GRAPHICAL_ITEM_CONTENT La République doit assurer l'égalité pour tous les citoyens" 3 - "graphicalTool" "GenericType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:34:53 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:34:56 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:34:57 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:34:57 +0200] "-" - - "-" "ConnectionType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:34:57 +0200] "-" - - "-" "ConnectionType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:34:57 +0200] "-" - - "-" "ConnectionType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:34:57 +0200] "-" - - "-" "ConnectionType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:34:57 +0200] "-" - - "-" "ConnectionType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:34:58 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:34:58 +0200] "NoteMessage " 2 - "notetool" "GenericType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:34:59 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:35:00 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.206 rachid - [11/12/2012:16:35:02 +0200] "graphicalToolMessage CHANGE_GRAPHICAL_ITEM_CONTENT c'est pas toujours vrai, ç'arrive même avec les hetero" 3 - "graphicalTool" "GenericType"
132.227.113.197 chani - [11/12/2012:16:35:03 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:35:04 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:35:08 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM oui des troubles pour sa sexualité bien sur" 3 - "graphicalTool" "GenericType"
132.227.113.197 chani - [11/12/2012:16:35:11 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:35:15 +0200] "graphicalToolMessage CHANGE_GRAPHICAL_ITEM_CONTENT Homoparentalité parfois mal vue" 3 - "graphicalTool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:35:15 +0200] "graphicalToolMessage ADD_GRAPHICAL_ITEM_COMMENT Un couple homoparental peut se servir d'un enfant comme objet pour paraître comme un couple normal" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:35:16 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.197 chani - [11/12/2012:16:35:19 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:35:24 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM Les parents hétéro ne font pas forcément des enfants hétéros." 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:35:25 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:35:25 +0200] "graphicalToolMessage DELETE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:35:28 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:35:30 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:35:32 +0200] "graphicalToolMessage CHANGE_GRAPHICAL_ITEM_CONTENT Il est difficile d'affirmer que la cause est l'homoparentalité (contexte familial, violences..)" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:35:33 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:35:42 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.206 rachid - [11/12/2012:16:35:49 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM tout à fait  vrai" 3 - "graphicalTool" "GenericType"
132.227.113.206 rachid - [11/12/2012:16:35:55 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:36:06 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.194 amna - [11/12/2012:16:36:06 +0200] "-" - - "-" "DisconnectionType"
132.227.113.194 amna - [11/12/2012:16:36:06 +0200] "-" - - "-" "DisconnectionType"
132.227.113.194 amna - [11/12/2012:16:36:06 +0200] "-" - - "-" "DisconnectionType"
132.227.113.194 amna - [11/12/2012:16:36:06 +0200] "-" - - "-" "DisconnectionType"
132.227.113.194 amna - [11/12/2012:16:36:06 +0200] "-" - - "-" "DisconnectionType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:36:07 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM On classerait alors les citoyens en catégories et sous-catégories" 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:36:09 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:36:10 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:36:13 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:36:17 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.194 amna - [11/12/2012:16:36:28 +0200] "-" - - "-" "ConnectionType"
132.227.113.194 amna - [11/12/2012:16:36:28 +0200] "-" - - "-" "ConnectionType"
132.227.113.194 amna - [11/12/2012:16:36:28 +0200] "-" - - "-" "ConnectionType"
132.227.113.194 amna - [11/12/2012:16:36:28 +0200] "-" - - "-" "ConnectionType"
132.227.113.194 amna - [11/12/2012:16:36:28 +0200] "-" - - "-" "ConnectionType"
132.227.113.194 amna - [11/12/2012:16:36:29 +0200] "NoteMessage " 2 - "notetool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:36:35 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:36:35 +0200] "graphicalToolMessage DELETE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:36:37 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:36:41 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:36:54 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM le marriage civile c'est un droit pour tous.. pas la même chose pour celui religieux" 3 - "graphicalTool" "GenericType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:36:58 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:37:02 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:37:03 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:37:10 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:37:13 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:37:15 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.206 rachid - [11/12/2012:16:37:22 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.206 rachid - [11/12/2012:16:37:24 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.196 User - [11/12/2012:16:37:25 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM C'est parce que c'est lié à l'education et non a l'orientation sexuelle des parents" 3 - "graphicalTool" "GenericType"
132.227.113.196 User - [11/12/2012:16:37:31 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.205 Cedric - [11/12/2012:16:37:31 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM L'orientation sexuelle semble plutôt être d'origine génétique." 3 - "graphicalTool" "GenericType"
132.227.113.205 Cedric - [11/12/2012:16:37:45 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.205 Cedric - [11/12/2012:16:37:48 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.196 User - [11/12/2012:16:37:48 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM Le mariage religieux n'est pas vraiment reconnu..." 3 - "graphicalTool" "GenericType"
132.227.113.205 Cedric - [11/12/2012:16:37:49 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.196 User - [11/12/2012:16:37:49 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:37:50 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM L'être humain est intrinsèquement imprévisible" 3 - "graphicalTool" "GenericType"
132.227.113.196 User - [11/12/2012:16:37:52 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:37:53 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM L'égalité passe par l'attribution de droits indifférents aux préférences sexuelles" 3 - "graphicalTool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:37:55 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:37:55 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:37:59 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:38:00 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:38:01 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.201 AlexPavy - [11/12/2012:16:38:09 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:38:11 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM Prouvé ?" 3 - "graphicalTool" "GenericType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:38:16 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:38:20 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:38:22 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:38:34 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:38:37 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:16:38:38 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:38:41 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM oui à la base c'est  l'education" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:38:43 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:38:45 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:38:47 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM Quelle est ta source ?" 3 - "graphicalTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:38:49 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.207 3152019_3268955 - [11/12/2012:16:38:53 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:38:54 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:38:55 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:38:56 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:38:57 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:16:38:58 +0200] "graphicalToolMessage CREATE_CONNECTION_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:38:59 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:39:05 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM un couple gay marié ou en concubinage engendre les mêmes effets" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:39:12 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.205 Cedric - [11/12/2012:16:39:12 +0200] "-" - - "-" "DisconnectionType"
132.227.113.205 Cedric - [11/12/2012:16:39:12 +0200] "-" - - "-" "DisconnectionType"
132.227.113.205 Cedric - [11/12/2012:16:39:12 +0200] "-" - - "-" "DisconnectionType"
132.227.113.205 Cedric - [11/12/2012:16:39:12 +0200] "-" - - "-" "DisconnectionType"
132.227.113.205 Cedric - [11/12/2012:16:39:12 +0200] "-" - - "-" "DisconnectionType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:39:12 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:39:13 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:39:25 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:39:26 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:39:27 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.203 Mihai_Luiggi - [11/12/2012:16:39:29 +0200] "graphicalToolMessage MOVE_GRAPHICAL_ITEM" 3 - "graphicalTool" "GenericType"
132.227.113.195 amy - [11/12/2012:16:39:33 +0200] "graphicalToolMessage CREATE_GRAPHICAL_ITEM trop mal vu meme" 3 - "graphicalTool" "GenericType"
